2024-11-21 16:13:32.965 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-21 16:13:32.965 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2024-11-21 16:13:32.973 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:13:32.974 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:13:32.975 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:13:32.976 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:13:32.979 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/home/angus/langchain-data
2024-11-21 16:13:32.980 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2024-11-21 16:13:32.982 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2024-11-21 16:13:32.995 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2024-11-21 16:13:33.244 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2024-11-21 16:13:33.245 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2024-11-21 16:13:33.245 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2024-11-21 16:15:32.560 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-21 16:15:32.561 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2024-11-21 16:15:32.582 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.595 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.608 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.621 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.856 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.857 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.857 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.857 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 16:15:32.877 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2024-11-21 16:15:32.893 | ERROR    | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:140 - Error raised by inference endpoint: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/embeddings (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f4e33c9cd30>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-11-21 16:15:32.893 | ERROR    | chatchat.init_database:worker:61 - 向量库 samples 加载失败。
2024-11-21 17:58:43.429 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-21 17:58:43.430 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2024-11-21 17:58:43.454 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:58:43.468 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:58:43.482 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:58:43.495 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:58:43.521 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/home/angus/langchain-data
2024-11-21 17:58:43.521 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2024-11-21 17:58:43.527 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2024-11-21 17:58:43.529 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2024-11-21 17:58:43.795 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2024-11-21 17:58:43.795 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2024-11-21 17:58:43.795 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2024-11-21 17:59:03.621 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-21 17:59:03.622 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2024-11-21 17:59:03.663 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:03.689 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:03.714 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:03.743 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:04.275 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:04.276 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:04.276 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:04.276 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 17:59:04.293 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2024-11-21 17:59:04.309 | ERROR    | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:140 - Error raised by inference endpoint: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/embeddings (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f690fba2c20>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-11-21 17:59:04.309 | ERROR    | chatchat.init_database:worker:61 - 向量库 samples 加载失败。
2024-11-21 19:56:24.028 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2024-11-21 19:56:24.048 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 19:56:24.058 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 19:56:24.069 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 19:56:24.079 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 19:56:24.098 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/home/angus/langchain-data
2024-11-21 19:56:24.098 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2024-11-21 19:56:24.101 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2024-11-21 19:56:24.103 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2024-11-21 19:56:24.395 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2024-11-21 19:56:24.395 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2024-11-21 19:56:24.395 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2024-11-21 22:44:20.657 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2024-11-21 22:44:20.674 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 22:44:20.684 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 22:44:20.694 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 22:44:20.704 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-11-21 22:44:20.722 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/home/angus/langchain-data
2024-11-21 22:44:20.722 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2024-11-21 22:44:20.725 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
